2026-03-06 19:32:36,0.0,-328.3670,1000
2026-03-06 19:33:04,0.0,-329.8980,1000
2026-03-06 19:33:33,5.0,856.6800,1000
2026-03-06 19:33:51,5.0,854.7890,1000
2026-03-06 19:34:31,10.0,1920.8460,1000
2026-03-06 19:34:46,10.0,1921.5770,1000
2026-03-06 19:35:18,15.0,3038.4070,1000
2026-03-06 19:35:32,15.0,3039.7720,1000
2026-03-06 19:36:05,20.0,4154.1090,1000
2026-03-06 19:36:23,20.0,4162.1760,1000
2026-03-06 19:37:04,25.0,5183.2930,1000
2026-03-06 19:37:20,25.0,5194.9800,1000
2026-03-06 19:37:51,30.0,6160.8710,1000
2026-03-06 19:38:06,30.0,6159.1550,1000
2026-03-06 19:38:35,35.0,7056.8680,1000
2026-03-06 19:38:55,35.0,7063.1290,1000
2026-03-06 19:40:03,40.0,8862.1880,1000
2026-03-06 19:40:22,40.0,8856.4010,1000
2026-03-06 19:41:18,45.0,10083.9770,1000
2026-03-06 19:41:31,45.0,10075.2560,1000
2026-03-06 19:42:05,50.0,11214.0350,1000
2026-03-06 19:42:27,50.0,11211.5980,1000
2026-03-06 19:43:03,55.0,12399.0310,1000
2026-03-06 19:43:18,55.0,12410.0030,1000
2026-03-06 19:43:58,60.0,13512.8320,1000
2026-03-06 19:44:15,60.0,13517.8190,1000
2026-03-06 19:44:55,65.0,14531.3570,1000
2026-03-06 19:45:18,65.0,14530.5190,1000
2026-03-06 19:45:58,70.0,15524.5530,1000
2026-03-06 19:46:21,70.0,15533.9890,1000
2026-03-06 19:47:02,75.0,16575.4180,1000
2026-03-06 19:47:26,75.0,16582.5580,1000
2026-03-06 19:48:14,80.0,17474.5090,1000
2026-03-06 19:48:52,80.0,17492.1010,1000
2026-03-06 19:49:19,85.0,18365.1100,1000
2026-03-06 19:49:42,85.0,18376.2550,1000
2026-03-06 19:50:33,90.0,19219.8330,1000
2026-03-06 19:50:50,90.0,19222.1250,1000
2026-03-06 19:51:27,95.0,20075.1910,1000
2026-03-06 19:51:55,95.0,20078.3880,1000
2026-03-06 19:52:26,100.0,20866.5190,1000
2026-03-06 19:52:46,100.0,20870.7340,1000
2026-03-06 19:53:19,105.0,21658.6550,1000
2026-03-06 19:53:36,105.0,21651.3800,1000
2026-03-06 19:53:59,110.0,22519.7860,1000
2026-03-06 19:54:25,110.0,22523.5230,1000
2026-03-06 19:56:33,0.0,-304.2990,1000
